6.784731522202491760e-05,8.223369368351995945e-04,-2.541857538744807243e-03,-5.700639449059963226e-03,-2.879378153011202812e-04,9.371990337967872620e-03,4.814121872186660767e-03,2.834874950349330902e-02,7.215178629849106073e-05,3.458714485168457031e-02,9.558280706405639648e-01,6.675541400909423828e-01,6.698763966560363770e-01,9.615474343299865723e-01,2.839769877027720213e-04,3.416260879021137953e-04,2.990325214341282845e-03,4.892651438713073730e-01,-3.845140454359352589e-04
4.003672897815704346e-01,1.874155104160308838e-01,5.967235565185546875e-01,9.993893504142761230e-01,7.944781780242919922e-01,1.000802278518676758e+00,2.965294122695922852e-01,5.971207618713378906e-01,6.977239251136779785e-01,7.945306301116943359e-01,2.134885638952255249e-03,-1.242015394382178783e-03,4.300729837268590927e-03,2.237307373434305191e-03,2.466165227815508842e-03,-2.002209366764873266e-04,-4.976373165845870972e-04,-2.902704989537596703e-03,9.848159970715641975e-04
3.877450944855809212e-04,6.908745169639587402e-01,7.730255126953125000e-01,7.904964685440063477e-01,5.896252989768981934e-01,9.913698434829711914e-01,3.001019060611724854e-01,8.958557248115539551e-01,6.837078332901000977e-01,2.971001863479614258e-01,1.249317452311515808e-02,2.211367973359301686e-04,3.947932738810777664e-03,3.787939902395009995e-03,1.140279602259397507e-02,6.462997291237115860e-03,6.523181218653917313e-03,4.054283781442791224e-04,9.356696158647537231e-03
9.033433161675930023e-03,1.750491261482238770e-01,5.896615386009216309e-01,7.914759516716003418e-01,3.934750556945800781e-01,9.855864644050598145e-01,2.827984392642974854e-01,7.944754362106323242e-01,6.948723196983337402e-01,7.047985196113586426e-01,6.333887111395597458e-03,5.058062379248440266e-04,-1.645049895159900188e-03,-3.108617383986711502e-03,9.156509302556514740e-03,3.643371164798736572e-03,-2.088269684463739395e-05,-7.972734980285167694e-03,5.440633394755423069e-04
9.390652179718017578e-02,8.870135545730590820e-01,7.928286194801330566e-01,8.926887512207031250e-01,8.151745200157165527e-01,4.953331649303436279e-01,4.849666357040405273e-01,2.760070860385894775e-01,4.787312150001525879e-01,6.974616050720214844e-01,9.263457730412483215e-03,-7.547753397375345230e-03,-2.871579257771372795e-03,-4.448223859071731567e-03,2.751754829660058022e-03,7.224916480481624603e-04,6.224706768989562988e-03,8.342389483004808426e-04,3.355451393872499466e-03
1.721176784485578537e-03,9.868181943893432617e-01,-8.725719526410102844e-03,1.105499174445867538e-02,9.862551689147949219e-01,9.913063049316406250e-01,-9.040600853040814400e-04,5.153835415840148926e-01,4.414151608943939209e-02,9.663441181182861328e-01,-1.109446026384830475e-02,-4.115334246307611465e-03,8.249049074947834015e-03,-6.490220315754413605e-03,4.313542041927576065e-03,-2.728636609390377998e-03,-6.716080009937286377e-03,-2.512692008167505264e-03,-1.321023213677108288e-03
2.847299277782440186e-01,-2.092279319185763597e-04,3.186943358741700649e-04,8.642545938491821289e-01,4.655297994613647461e-01,-8.293126709759235382e-03,-3.186441957950592041e-03,7.741646170616149902e-01,6.853998303413391113e-01,6.665680091828107834e-03,3.020457178354263306e-02,1.968335360288619995e-02,3.118740208446979523e-02,7.837836630642414093e-03,1.993358694016933441e-02,1.167930010706186295e-02,1.159230154007673264e-02,2.226594137027859688e-03,1.035634079016745090e-03
-1.416267943568527699e-03,8.035224676132202148e-01,1.000858068466186523e+00,9.943790435791015625e-01,1.002070665359497070e+00,6.917833685874938965e-01,4.992155134677886963e-01,8.978806138038635254e-01,6.012305617332458496e-01,7.836775779724121094e-01,2.578881382942199707e-02,2.407093707006424665e-04,4.717881325632333755e-03,-7.610499393194913864e-03,-7.063126191496849060e-03,6.091163959354162216e-03,4.767115227878093719e-03,-5.533347721211612225e-04,-1.790580339729785919e-03
-8.975275559350848198e-04,4.433103371411561966e-03,9.886284824460744858e-04,-3.645529970526695251e-03,8.089124225080013275e-03,-4.428057931363582611e-03,-1.617578964214771986e-04,2.716439068317413330e-01,-1.448780240025371313e-04,5.734897255897521973e-01,3.907360881567001343e-02,4.486336559057235718e-02,4.383511096239089966e-02,6.248777732253074646e-02,2.532072830945253372e-03,-4.479364026337862015e-03,-5.802937783300876617e-03,2.312636375427246094e-02,-5.353557877242565155e-03
3.541663318173959851e-05,-5.626895930618047714e-03,-9.297877550125122070e-03,2.325783716514706612e-03,8.968214504420757294e-03,-1.736830174922943115e-02,-3.635796019807457924e-03,1.082377135753631592e-02,-1.265862490981817245e-02,-2.112862886860966682e-03,9.934541583061218262e-01,9.900029897689819336e-01,1.001697659492492676e+00,9.883642792701721191e-01,1.936103850603103638e-01,1.989880809560418129e-03,1.483952859416604042e-03,5.533556919544935226e-03,6.050675641745328903e-03
-1.564915408380329609e-03,-1.084882579743862152e-02,-3.035565139725804329e-03,-1.546568586491048336e-03,-1.650294288992881775e-04,-1.782058388926088810e-03,1.000697258859872818e-03,-4.673878429457545280e-04,4.260212590452283621e-04,1.666253781877458096e-03,9.733098745346069336e-01,6.768307089805603027e-01,5.661598443984985352e-01,1.551258610561490059e-03,7.864093780517578125e-01,2.001185528934001923e-02,2.028342708945274353e-02,7.051416039466857910e-01,1.034611370414495468e-02
5.354812601581215858e-04,8.080961704254150391e-01,9.016315340995788574e-01,8.976176381111145020e-01,6.014055013656616211e-01,2.974699139595031738e-01,2.015979886054992676e-01,7.984375357627868652e-01,4.956798255443572998e-01,6.947035193443298340e-01,-1.027616672217845917e-02,-3.405194962397217751e-03,2.546589239500463009e-04,4.198184236884117126e-03,-5.478205159306526184e-03,2.821210538968443871e-03,3.573572495952248573e-03,1.313163782469928265e-03,-1.096836198121309280e-02
1.604817435145378113e-02,6.738410890102386475e-02,8.219530433416366577e-02,8.144421130418777466e-02,3.705957159399986267e-02,2.360656158998608589e-03,8.935256482800468802e-05,7.200495898723602295e-02,4.928318038582801819e-02,5.092841386795043945e-02,8.500873446464538574e-01,4.561931564239785075e-05,1.374178472906351089e-02,-6.735173054039478302e-03,5.733824968338012695e-01,-8.671070449054241180e-03,-7.370635401457548141e-03,5.571687128394842148e-03,-2.202876377850770950e-03
